rank,title,year,rating,runtime,Mystery,Drama,Sport,Sci-Fi,Family,Adventure,Horror,Crime,Romance,Fantasy,Western,Animation,War,Thriller,Action,Music,Comedy,Musical,Biography,History
1,Irrla3ufer,2014,10.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,Chaar Sahibzaade,2014,9.3,128,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,Maikol Yordan de Viaje Perdido,2014,9.2,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,Lady Peacock,2014,9.1,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
5,Queen of the Mountains,2014,9.1,135,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
6,The Crucible,2014,9.0,190,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,The Dark Knight,2008,9.0,152,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
8,Cherry Red Kiss,2014,9.0,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
9,East Side Sushi,2014,9.0,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Potential Inertia,2014,9.0,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Rites of Passage,2013,8.9,80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Voice of the Vespers,2014,8.6,98,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
13,Drishyam,2013,8.9,160,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
14,Flock of Dudes,2014,8.9,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15,The Tailor's Apprentice,2014,8.9,84,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
16,1,2014,8.9,170,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
17,Flea,2014,8.8,,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
18,Interstellar,2014,8.8,169,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Attack of the Clones Review,2010,8.8,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,Cherrybelle's: Crush,2014,8.8,101,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21,Bey Yaar,2014,8.8,150,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,Inception,2010,8.8,148,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
23,Highway to Dhampus,2014,8.8,100,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24,Sparks and Embers,2014,8.8,84,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
25,Pretty Rosebud,2014,8.7,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Wheels,2014,8.8,115,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Nigger,2009,8.8,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Na Maloom Afraad,2014,8.7,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
29,Waar,2013,8.7,130,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
30,Enakkul Oru Devathai,2014,8.7,108,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Dr. Prakash Baba Amte: The Real Hero,2014,8.7,119,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
32,Les Misrables in Concert: The 25th Anniversary,2010,8.7,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
33,Half Time and Down,2014,8.7,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34,30 Days in Atlanta,2014,8.6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
35,Camilla Dickinson,2012,8.7,117,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
36,Dissonance,2008,8.7,80,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37,Ajana Batas,2013,8.7,102,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Qandil Mountains,2010,8.7,94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Hero of the Day,2012,8.7,95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Brtan,2006,8.7,162,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
41,The Dark Horse,2014,8.7,124,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Mount Joy,2014,8.7,86,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,How to Act and Eat at the Same Time,2012,8.7,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,That Thing Called Tadhana,2014,8.8,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
45,The Beat Beneath My Feet,2014,8.7,89,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
46,Jane Wants a Boyfriend,2014,8.7,101,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
47,Jimmy Vestvood: Amerikan Hero,2014,8.7,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
48,The sinking of Sozopol,2014,8.9,101,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,Victims of Fun,2014,8.7,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,Simply gay le film,2014,8.7,71,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Xoca,2012,8.7,115,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Whiplash,2014,8.6,107,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53,Arrange to Settle,2014,8.6,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Touching Down,2005,8.6,115,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Trapped Abroad,2014,8.6,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
56,Talakjung vs Tulke,2014,8.6,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,The Guide,2014,8.6,122,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58,Surviving Family,2012,8.6,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
59,Attack on Titan Crimson Bow and Arrow,2014,8.6,119,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
60,Janeane from Des Moines,2012,8.6,78,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,Vacuum,2012,8.6,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Tangerines,2013,8.6,87,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
63,Jigarthanda,2014,8.6,171,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
64,Shades of Gray,2014,8.6,108,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,Ninah's Dowry,2012,8.6,95,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
66,The Intouchables,2011,8.6,112,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
67,El Americano: The Movie,2014,7.3,98,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
68,A Reason,2014,8.6,112,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,Chasing Taste,2014,8.6,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
70,"Oh, My God!",2013,8.6,92,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
71,Intenzivni udarac u glavu,2012,8.6,46,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
72,Scopia,2014,8.6,130,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
73,Love Equation,2010,8.6,111,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,Thief of the Mind,2011,8.6,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
75,A Wednesday,2008,8.6,104,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
76,Haider,2014,8.6,160,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
77,The Racket Boys,2011,8.6,85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
78,Santiago,2011,8.6,80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,See You in Montevideo,2014,8.6,141,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
80,Cahaya Dari Timur: Beta Maluku,2014,8.6,151,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
81,Koma,2013,8.6,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,Jack London's Love of Life,2012,8.6,109,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
83,PK,2014,8.6,153,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0
84,The Gospel of John,2014,8.5,160,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,Perception,2009,8.6,107,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Kasabian Summer Solstice,2014,8.6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
87,Yume no mani mani,2008,8.6,106,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,Revenge Live,2006,8.6,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
89,The Blue Elephant,2014,8.6,170,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
90,For Some Inexplicable Reason,2014,8.6,96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
91,Crveno i crno,2006,8.6,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,We Pedal Uphill,2008,8.6,111,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
93,Ratter,2014,8.4,80,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
94,RWBY: Volume 2,2014,8.5,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,Aa Dinagalu,2007,8.6,136,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
96,Life of Ryan: Caretaker Manager,2014,8.6,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,God's Forgotten House,2005,8.5,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,The Dark Knight Rises,2012,8.5,165,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
99,Runoff,2014,8.5,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,Like Stars on Earth,2007,8.5,165,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,Crossing Bridges,2013,8.5,103,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,The Tartan Horror Story,2009,8.5,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
103,The Robert Yummy Sandifer Story,2013,8.5,62,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
104,Winter Sleep,2014,8.5,196,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,Red vs. Blue: Volume 11,2013,8.5,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,"Love, Pride and Other Nonsense",2012,8.5,100,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
107,Queen,2014,8.5,146,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
108,Bjork's Voltaic: Live in Paris,2009,8.5,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
109,I Am Orpheus,2012,8.5,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,The Departed,2006,8.5,151,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
111,Stand by Me Doraemon,2014,8.5,95,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
112,Gangs of Wasseypur,2012,8.5,320,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
113,Two Hearts as One,2014,8.5,126,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
114,Lucia,2013,8.5,135,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
115,The Prestige,2006,8.5,130,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
116,The American Side,2014,8.5,90,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
117,Mousse,2012,8.2,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
118,Shuruaat Ka Interval,2014,8.5,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Unsound,2013,8.5,94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
120,When Strangers Meet,2008,8.5,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,Tangled Up in Blue,2011,8.5,97,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
122,Wid Winner and the Slipstream,2010,8.5,50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Alborada carmes,2009,8.5,94,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
124,Basain,2005,8.5,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Srltek - The Movie,2011,8.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
126,O21,2014,8.5,124,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
127,Spud 3: Learning to Fly,2014,8.5,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
128,Betty I Am,2012,8.5,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
129,The Lives of Others,2006,8.5,137,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
130,Django Unchained,2012,8.5,165,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
131,3 Idiots,2009,8.5,170,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
132,RiffTrax Live: Sharknado,2014,8.5,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
133,G.N.A.R.,2011,8.5,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
134,The Corners,2010,8.5,65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,I'm Santana: The Movie,2012,8.5,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
136,Happy Familyy Pvt Ltd,2013,8.5,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
137,Never Alone,2014,8.5,91,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
138,Last Days of Simon,2009,8.5,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
139,Tell 'Em Steve-Dave Puppet Theatre,2013,8.5,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
140,After Film School,2014,8.3,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
141,An American in Hollywood,2014,8.5,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Peti leptir,2014,8.5,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
143,All Stars,2014,8.5,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
144,Veronika,2014,8.5,61,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
145,Amaneti,2014,8.5,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,Rang De Basanti,2006,8.5,157,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,Coming Soon,2014,8.5,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
148,Where Hope Grows,2014,8.5,95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,Fandry,2013,8.5,101,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,WALLE,2008,8.5,98,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
