rank,title,year,rating,runtime,Mystery,Drama,Sport,Sci-Fi,Family,Adventure,Horror,Crime,Romance,Fantasy,Western,Animation,War,Thriller,Action,Music,Comedy,Musical,Biography,History
304,Your Mom Is a Bitch!,2010,8.3,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,Your Good Friend,2013,8.3,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
306,Silicon Valley,2005,8.3,83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
307,The Road from Elephant Pass,2008,8.3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
308,Split Second,2012,8.3,83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,For Out of the Heart,2014,8.3,113,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
310,Let's Sin,2014,8.3,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
311,Cosmic Psychos: Blokes You Can Trust,2013,8.2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
312,Living Legends,2014,8.3,100,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
313,M.A.R.C.O.,2010,8.3,79,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
314,A Date with Fear,2011,8.3,90,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
315,Generation Me,2012,8.3,120,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
316,More Than Frybread,2011,8.3,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
317,The A-List,2014,8.3,104,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
318,Joseph Campbell: Sukhavati,2005,8.3,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319,The Return of Uncle Benon,2011,8.3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
320,Franklin: A Symphony of Pain,2014,8.3,90,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
321,Learning Gravity (aka the Undertaking),2007,8.3,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
322,Nital,2006,8.3,92,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,Naanu Nanna Kanasu,2010,8.3,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
324,Staying Gold,2010,8.3,81,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
325,Closure,2007,8.3,94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326,The Hunt,2012,8.3,115,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
327,Under the Blood-Red Sun,2014,8.3,99,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
328,Tick Tock Boom Clap,2011,8.3,109,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
329,Midnite Cabby,2014,8.3,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
330,Police in Pollywood,2014,8.3,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
331,Die Spieler,2007,8.3,86,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
332,Rat Rod Rockers!,2010,8.3,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
333,Slug Street Scrappers: Rise of Ryuken,2012,8.3,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
334,Final Cut: Hlgyeim s uraim,2012,8.3,84,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
335,Roxie,2014,8.3,85,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
336,Ekskursante,2013,8.3,110,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
337,Up,2009,8.3,96,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
338,Dough,2014,8.3,94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
339,Hola Venky!,2014,8.3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
340,Love in a Coffee Shop,2013,8.3,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
341,Omerta,2011,8.3,86,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
342,Ghatothkach,2008,7.5,91,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
343,Baandhon,2012,8.3,110,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344,The Basket Case,2006,8.3,71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345,Running on Empty,2012,8.3,82,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
346,Pusiona,2012,8.3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
347,Road to Pecumsecah,2008,8.3,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
348,Autochrome,2008,8.3,72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
349,Le favole di Casimiro,2011,8.3,50,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
350,Agape,2008,8.3,119,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
351,Muklo,2005,8.3,45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
352,Blazeni Augustin Kazotic,2008,8.3,54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
353,Sam's Story,2011,8.3,94,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354,Zagreb Stories Vol. 2,2012,8.3,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,Vazhakku Enn 18/9,2012,8.3,124,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
356,Bat Romance,2012,8.3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
357,The Rest is Silence,2007,8.3,114,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
358,Company Retreat,2009,8.3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359,Fireplace for Your Home: Crackling Fireplace,2011,8.3,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,Barfi!,2012,8.3,151,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
361,The Wolf and the Lamb,2013,8.3,141,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
362,Black,2005,8.3,122,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
363,My Autograph,2006,8.3,185,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
364,Song of the Sea,2014,8.3,93,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
365,Dry Run,2010,8.3,,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
366,American Cliche,2013,8.3,95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
367,The Quitter,2014,8.3,85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
368,The Nanabijou Tapes,2014,8.3,80,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
369,The Lies We Tell But the Secrets We Keep,2011,8.3,120,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
370,Bommarillu,2006,8.3,170,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
371,The Telemachy,2012,8.3,119,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,The Three Way,2011,8.3,86,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
373,Sawdust City,2011,8.3,97,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
374,Sand Castles,2014,8.3,93,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,Rough Winds,2009,8.3,100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,Black Fly,2014,8.3,88,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
377,Gas Light,2014,8.3,80,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
378,Don't Get Killed in Alaska,2014,8.3,96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
379,Missed Call,2005,8.3,105,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
380,Buoy,2012,8.3,82,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381,Chasing Home,2012,8.3,85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382,The Gershwin's 'Porgy and Bess',2013,8.3,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
383,Mata,2006,8.3,143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
384,The Wonderful World of Bill Maynard,2013,8.3,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
385,For the Title,2005,8.3,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
386,The Current,2014,8.3,85,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
387,Go with Le Flo,2014,8.3,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
388,Flutter,2014,8.3,96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
389,King of the Sands,2013,8.3,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
390,Reunion 108,2013,8.3,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
391,Rooster Teeth: Best of RT Shorts and Animated Adventures,2013,8.3,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
392,A.L.F.,2012,8.3,96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393,Ugramm,2014,8.3,,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
394,Vanished,2014,8.3,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
395,Welcome to Tolono,2007,8.3,92,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
396,Bathing Franky,2012,8.3,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
397,Take Me Home,2005,8.3,105,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
398,Pan's Labyrinth,2006,8.3,118,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
399,45RPM,2012,8.3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
400,Halima's Path,2012,8.3,93,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
401,Rounds,2008,8.3,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
402,Heads N TailZ,2005,8.3,91,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
403,Puujee,2008,8.3,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
404,Lucifer's Angels,2014,8.3,68,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
405,Deadly Revisions,2013,8.3,95,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
406,Callous,2009,8.3,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407,Sa North Diversion Road,2005,8.3,97,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
408,Kattradhu Thamizh,2007,8.3,147,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409,...Vanities...,2012,8.3,61,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
410,Can U Feel It: The UMF Experience,2012,8.3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
411,Kingsman: The Secret Service,2014,8.2,129,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
412,Anahit,2014,8.1,,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
413,Who Shot Mamba?,2009,8.3,118,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
414,In the Shadow of the Dog,2006,8.3,130,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415,Full Love,2014,8.2,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
416,Woman,2007,8.3,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
417,Kahaani,2012,8.3,122,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
418,Midlife,2013,8.3,103,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
419,Once Upon a Winter's Night,2012,8.3,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
420,Kaththi,2014,8.3,166,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
421,Heaven Burns,2010,8.3,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
422,Indigo Children,2012,8.3,75,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423,September 12th,2005,8.3,77,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
424,Runaway,2013,8.3,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
425,Welcome to Nowhere (Bullet Hole Road),2012,8.3,55,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
426,72 Miles - Ek Pravas,2013,8.3,92,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
427,The Secret in Their Eyes,2009,8.3,129,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
428,Usturoi,2014,8.3,90,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
429,The Wolf of Wall Street,2013,8.3,180,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
430,Thanha Rathi Ranga,2014,8.3,95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431,Bol,2011,8.3,165,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
432,Gone Girl,2014,8.3,149,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
433,White Orb,2014,8.2,105,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
434,The Distance Between Us,2014,8.2,117,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
435,Eddie Reynolds y Los ngeles de Acero,2014,8.2,106,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
436,Buffalo Boys,2013,8.2,80,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
437,Two Days in February,2012,8.2,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
438,Palace Living,2013,8.2,83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
439,Pinned,2014,8.2,100,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
440,A Breath to Survive,2013,8.2,80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
441,Rinoplasticos: A Warrior's Journey,2014,8.2,55,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
442,Losing You,2009,8.2,88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
443,Longchamps,2011,8.2,85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
444,Lone Rivers,2013,8.2,112,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
445,Punascha,2014,8.2,130,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446,Janem Janem,2005,8.2,105,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447,In the City,2009,8.2,47,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
448,Crooked Features,2005,8.2,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
449,The Little Documentary That Couldn't,2007,8.2,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
450,Unsung,2005,8.2,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
451,Fate Twisted Simply,2006,8.2,96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
452,Usagi-san,2013,8.2,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453,Footsteps in the Sand,2010,8.2,89,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
454,Audrey,2014,8.2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
455,Boyhood,2014,8.2,165,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
456,Home for Christmas,2014,8.2,102,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
